,epoch,loss,acc,prec,rec,f1,test_loss
0,0,0.721187232129545,0.528009024252679,0.0,0.0,0.0,0.7048018814681413
1,1,0.702786179192095,0.528009024252679,0.0,0.0,0.0,0.7012912590610344
2,2,0.6841470031853182,0.5344162436548223,0.8622448979591837,0.016156015486831415,0.031717730962323464,0.7027683450718119
3,3,0.6786744077521635,0.5250987027636774,0.4864296233957501,0.11051096983891784,0.18010438575991278,0.7138664388725424
4,4,0.6835863845176008,0.5172701635645798,0.4782489490038384,0.25013144687156447,0.32846875686532967,0.7229305118709416
5,5,0.6789289030684046,0.5049294980259448,0.4743132626927133,0.45146025524592515,0.46260469216829114,0.7278798641408505
6,6,0.6743640931973974,0.5328821206993796,0.5153539948820017,0.17327087615314757,0.25934537649794315,0.7061036565431097
7,7,0.6712247355874762,0.49112239142695996,0.4676378607339377,0.5646479613785191,0.5115846000606297,0.7378051669738681
8,8,0.6686600055321154,0.501590524534687,0.47172726833743783,0.4669470866593375,0.46932500600528465,0.7316875595379013
9,9,0.6690634223351996,0.4806542583192329,0.47299765868217253,0.8787342861239903,0.6149729042617247,0.7656348642676768
10,10,0.6913712757179536,0.47447264523406657,0.4677695379349686,0.8230964103054347,0.5965289084421658,0.7561307304349296
11,11,0.7122866777052362,0.5060349689791314,0.47473804336549436,0.4374551885665121,0.45533470981865215,0.7379643604008839
12,12,0.6933201264186077,0.5310095882684716,0.543778801843318,0.03948186033172411,0.07361853832442068,0.7203697215599071
13,13,0.678825387753636,0.5193457416807671,0.46592119275825344,0.12547201376607237,0.19770288081340612,0.7249702574714781
14,14,0.67022418185889,0.5108855047941342,0.46833013435700577,0.268247215716266,0.3411135424264527,0.7234908375045094
15,15,0.6704166075551367,0.48166948674562887,0.46834350533259356,0.7262559151092204,0.5694582388546371,0.7527476389170725
16,16,0.6821713903582239,0.4992442188381275,0.4684140117921023,0.4518904450074088,0.46000389256520047,0.7369745427911932
17,17,0.6699925147625337,0.5065538635081782,0.4626736792526886,0.28172649490942114,0.35020796197266785,0.7264714757085362
18,18,0.6660228123865932,0.49026508742244784,0.4668279335368997,0.5626882080206491,0.5102952013524644,0.7448315641064664
19,19,0.6716650250446365,0.5061477721376199,0.45854368101309145,0.2561541035323359,0.3286923454367026,0.7237488057190206
20,20,0.659749614905162,0.5078398195149464,0.47061916655711844,0.34223985469145835,0.39629168396291686,0.7276200463761499
21,21,0.6583748890692929,0.49326565143824025,0.47258225324027914,0.6343865016012619,0.541659014386287,0.7529964474544553
22,22,0.6654729588204119,0.5149012972363226,0.4815941202559716,0.3633191530041585,0.41417829119442023,0.7274044416683577
23,23,0.656041615698711,0.5193006204173717,0.48686359923768036,0.3419052626547488,0.4017072417375677,0.7246572431203779
24,24,0.6549670243837747,0.518556119571348,0.48745734299227683,0.3891783375555662,0.43280884541781844,0.7298627140546086
25,25,0.6608185861484114,0.5087196841511562,0.4831500532103583,0.5859184551407677,0.5295947463924653,0.7497882705402237
26,26,0.6516751758305424,0.5198195149464185,0.4898642988775339,0.41929162085942356,0.45183887915936954,0.733563531872858
27,27,0.6481347180992724,0.5165707839819514,0.4846966495623302,0.3837770661058267,0.4283732593501574,0.7329315581879059
28,28,0.6512282479958362,0.5161646926113931,0.48693574876822776,0.4676640695951436,0.4771053786511923,0.7402385144694715
29,29,0.6557728669729578,0.5089678510998308,0.4842407946822018,0.6198078485732039,0.5437011258097654,0.7557509561293742
