,ASD.precision,ASD.recall,ASD.f1-score,ASD.support,TD.precision,TD.recall,TD.f1-score,TD.support,accuracy,macro_avg.precision,macro_avg.recall,macro_avg.f1-score,macro_avg.support,weighted_avg.precision,weighted_avg.recall,weighted_avg.f1-score,weighted_avg.support
0,0.6875,0.7333333333333333,0.7096774193548387,30.0,0.6521739130434783,0.6,0.625,25.0,0.6727272727272727,0.6698369565217391,0.6666666666666666,0.6673387096774194,55.0,0.6714426877470355,0.6727272727272727,0.6711876832844575,55.0
1,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0,0.7083333333333334,0.68,0.6938775510204082,25.0,0.7272727272727273,0.7251344086021505,0.7233333333333334,0.7239879558380728,55.0,0.7266617790811339,0.7272727272727273,0.7267252653669516,55.0
2,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0,0.7083333333333334,0.68,0.6938775510204082,25.0,0.7272727272727273,0.7251344086021505,0.7233333333333334,0.7239879558380728,55.0,0.7266617790811339,0.7272727272727273,0.7267252653669516,55.0
3,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.72,0.72,0.72,25.0,0.7454545454545455,0.7433333333333334,0.7433333333333334,0.7433333333333334,55.0,0.7454545454545455,0.7454545454545455,0.7454545454545455,55.0
4,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0,0.7083333333333334,0.68,0.6938775510204082,25.0,0.7272727272727273,0.7251344086021505,0.7233333333333334,0.7239879558380728,55.0,0.7266617790811339,0.7272727272727273,0.7267252653669516,55.0
5,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.72,0.72,0.72,25.0,0.7454545454545455,0.7433333333333334,0.7433333333333334,0.7433333333333334,55.0,0.7454545454545455,0.7454545454545455,0.7454545454545455,55.0
6,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.72,0.72,0.72,25.0,0.7454545454545455,0.7433333333333334,0.7433333333333334,0.7433333333333334,55.0,0.7454545454545455,0.7454545454545455,0.7454545454545455,55.0
7,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.72,0.72,0.72,25.0,0.7454545454545455,0.7433333333333334,0.7433333333333334,0.7433333333333334,55.0,0.7454545454545455,0.7454545454545455,0.7454545454545455,55.0
8,0.7931034482758621,0.7666666666666667,0.7796610169491526,30.0,0.7307692307692307,0.76,0.7450980392156863,25.0,0.7636363636363637,0.7619363395225465,0.7633333333333334,0.7623795280824195,55.0,0.7647697130455751,0.7636363636363637,0.7639505725248498,55.0
9,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0,0.8181818181818182,0.72,0.7659574468085106,25.0,0.8,0.803030303030303,0.7933333333333333,0.795677136102668,55.0,0.8016528925619835,0.8,0.7983789260385005,55.0
10,0.8275862068965517,0.8,0.8135593220338984,30.0,0.7692307692307693,0.8,0.7843137254901961,25.0,0.8,0.7984084880636605,0.8,0.7989365237620472,55.0,0.8010610079575596,0.8,0.8002658690594884,55.0
