,epoch,loss,acc,prec,rec,f1,test_loss
0,0,0.7547507495397613,0.5240623433441188,0.0,0.0,0.0,0.7530253329707999
1,1,0.750716972563948,0.5240623433441188,0.0,0.0,0.0,0.7487587442203444
2,2,0.7461633043629783,0.5240623433441188,0.0,0.0,0.0,0.7436889559464969
3,3,0.7402761653065681,0.5240623433441188,0.0,0.0,0.0,0.7374961119003963
4,4,0.7341164613053912,0.5240623433441188,0.0,0.0,0.0,0.7311946323939732
5,5,0.7287536057687941,0.5240623433441188,0.0,0.0,0.0,0.7267067689589787
6,6,0.7253694442056474,0.5240623433441188,0.0,0.0,0.0,0.7244002895522048
7,7,0.7235977337473914,0.5240623433441188,0.0,0.0,0.0,0.723062632035236
8,8,0.7224485001393727,0.5240623433441188,0.0,0.0,0.0,0.7219741865775328
9,9,0.7213537206961995,0.5240623433441188,0.0,0.0,0.0,0.720706950818832
10,10,0.7199108774463335,0.5240623433441188,0.0,0.0,0.0,0.7189630892116892
11,11,0.717633765013445,0.5240623433441188,0.0,0.0,0.0,0.7159563959861288
12,12,0.7123946792313031,0.5240623433441188,0.0,0.0,0.0,0.706100508353453
13,13,0.7014153418796403,0.5240623433441188,0.0,0.0,0.0,0.6975371691645408
14,14,0.6970070153474808,0.5240623433441188,0.0,0.0,0.0,0.6953074285657344
15,15,0.6967834745134626,0.5240623433441188,0.0,0.0,0.0,0.6940381909250866
16,16,0.6938641905075028,0.5240623433441188,0.0,0.0,0.0,0.6934133813263028
17,17,0.6936894396231288,0.5240623433441188,0.0,0.0,0.0,0.6922947296943331
18,18,0.6954612962546802,0.5240623433441188,0.0,0.0,0.0,0.705745507954856
19,19,0.6956440519009318,0.5240623433441188,0.0,0.0,0.0,0.6913368069395727
20,20,0.6916248159749168,0.5240623433441188,0.0,0.0,0.0,0.6909745552797012
21,21,0.6918918075306075,0.5240623433441188,0.0,0.0,0.0,0.6904035740621584
