,ASD.precision,ASD.recall,ASD.f1-score,ASD.support,TD.precision,TD.recall,TD.f1-score,TD.support,accuracy,macro_avg.precision,macro_avg.recall,macro_avg.f1-score,macro_avg.support,weighted_avg.precision,weighted_avg.recall,weighted_avg.f1-score,weighted_avg.support
0,0.5294117647058824,0.75,0.6206896551724139,24.0,0.4,0.2,0.26666666666666666,20.0,0.5,0.4647058823529412,0.475,0.44367816091954027,44.0,0.4705882352941177,0.5,0.45977011494252884,44.0
1,0.5416666666666666,0.5416666666666666,0.5416666666666666,24.0,0.45,0.45,0.45,20.0,0.5,0.49583333333333335,0.49583333333333335,0.49583333333333335,44.0,0.5,0.5,0.5,44.0
2,0.0,0.0,0.0,24.0,0.4418604651162791,0.95,0.6031746031746031,20.0,0.4318181818181818,0.22093023255813954,0.475,0.30158730158730157,44.0,0.20084566596194503,0.4318181818181818,0.2741702741702742,44.0
3,0.65,0.5416666666666666,0.5909090909090908,24.0,0.5416666666666666,0.65,0.5909090909090908,20.0,0.5909090909090909,0.5958333333333333,0.5958333333333333,0.5909090909090908,44.0,0.6007575757575757,0.5909090909090909,0.5909090909090908,44.0
4,0.5428571428571428,0.7916666666666666,0.6440677966101694,24.0,0.4444444444444444,0.2,0.2758620689655173,20.0,0.5227272727272727,0.4936507936507936,0.49583333333333335,0.45996493278784334,44.0,0.49812409812409814,0.5227272727272727,0.4767015567716912,44.0
5,0.5384615384615384,0.875,0.6666666666666667,24.0,0.4,0.1,0.16000000000000003,20.0,0.5227272727272727,0.46923076923076923,0.4875,0.4133333333333334,44.0,0.4755244755244755,0.5227272727272727,0.43636363636363634,44.0
6,0.5555555555555556,0.20833333333333334,0.30303030303030304,24.0,0.45714285714285713,0.8,0.5818181818181818,20.0,0.4772727272727273,0.5063492063492063,0.5041666666666667,0.4424242424242424,44.0,0.5108225108225107,0.4772727272727273,0.4297520661157025,44.0
7,0.5185185185185185,0.5833333333333334,0.5490196078431373,24.0,0.4117647058823529,0.35,0.37837837837837834,20.0,0.4772727272727273,0.4651416122004357,0.4666666666666667,0.4636989931107578,44.0,0.4699940582293523,0.4772727272727273,0.47145541263188323,44.0
8,0.45454545454545453,0.20833333333333334,0.28571428571428575,24.0,0.42424242424242425,0.7,0.5283018867924527,20.0,0.4318181818181818,0.4393939393939394,0.45416666666666666,0.40700808625336926,44.0,0.4407713498622589,0.4318181818181818,0.39598137711345255,44.0
9,0.3333333333333333,0.08333333333333333,0.13333333333333333,24.0,0.42105263157894735,0.8,0.5517241379310345,20.0,0.4090909090909091,0.3771929824561403,0.4416666666666667,0.3425287356321839,44.0,0.3732057416267942,0.4090909090909091,0.32351097178683386,44.0
10,0.42857142857142855,0.125,0.19354838709677416,24.0,0.43243243243243246,0.8,0.5614035087719298,20.0,0.4318181818181818,0.43050193050193053,0.4625,0.37747594793435196,44.0,0.4303264303264303,0.4318181818181818,0.3607552605854813,44.0
11,0.5897435897435898,0.9583333333333334,0.7301587301587301,24.0,0.8,0.2,0.32000000000000006,20.0,0.6136363636363636,0.6948717948717948,0.5791666666666667,0.525079365079365,44.0,0.6853146853146853,0.6136363636363636,0.5437229437229437,44.0
12,0.5609756097560976,0.9583333333333334,0.7076923076923077,24.0,0.6666666666666666,0.1,0.1739130434782609,20.0,0.5681818181818182,0.6138211382113821,0.5291666666666667,0.4408026755852843,44.0,0.6090169992609017,0.5681818181818182,0.46506536941319554,44.0
13,0.5,0.2916666666666667,0.3684210526315789,24.0,0.43333333333333335,0.65,0.5199999999999999,20.0,0.45454545454545453,0.4666666666666667,0.4708333333333333,0.4442105263157894,44.0,0.4696969696969697,0.45454545454545453,0.4373205741626794,44.0
14,0.42857142857142855,0.25,0.3157894736842105,24.0,0.4,0.6,0.48,20.0,0.4090909090909091,0.41428571428571426,0.425,0.39789473684210525,44.0,0.41558441558441556,0.4090909090909091,0.3904306220095694,44.0
15,0.375,0.25,0.3,24.0,0.35714285714285715,0.5,0.41666666666666663,20.0,0.36363636363636365,0.3660714285714286,0.375,0.3583333333333333,44.0,0.36688311688311687,0.36363636363636365,0.35303030303030297,44.0
16,0.4,0.25,0.3076923076923077,24.0,0.3793103448275862,0.55,0.4489795918367347,20.0,0.38636363636363635,0.3896551724137931,0.4,0.37833594976452123,44.0,0.39059561128526643,0.38636363636363635,0.37191380048522904,44.0
17,0.25,0.041666666666666664,0.07142857142857142,24.0,0.425,0.85,0.5666666666666667,20.0,0.4090909090909091,0.3375,0.4458333333333333,0.319047619047619,44.0,0.32954545454545453,0.4090909090909091,0.2965367965367965,44.0
18,0.5,0.3333333333333333,0.4,24.0,0.42857142857142855,0.6,0.5,20.0,0.45454545454545453,0.4642857142857143,0.4666666666666667,0.45,44.0,0.46753246753246747,0.45454545454545453,0.4454545454545455,44.0
19,0.5714285714285714,0.8333333333333334,0.6779661016949152,24.0,0.5555555555555556,0.25,0.3448275862068966,20.0,0.5681818181818182,0.5634920634920635,0.5416666666666667,0.5113968439509059,44.0,0.5642135642135642,0.5681818181818182,0.5265395037458158,44.0
20,0.5,0.16666666666666666,0.25,24.0,0.4444444444444444,0.8,0.5714285714285714,20.0,0.45454545454545453,0.4722222222222222,0.48333333333333334,0.4107142857142857,44.0,0.47474747474747475,0.45454545454545453,0.39610389610389607,44.0
21,0.53125,0.7083333333333334,0.6071428571428571,24.0,0.4166666666666667,0.25,0.3125,20.0,0.5,0.47395833333333337,0.4791666666666667,0.45982142857142855,44.0,0.47916666666666674,0.5,0.47321428571428564,44.0
22,0.5,0.5833333333333334,0.5384615384615384,24.0,0.375,0.3,0.33333333333333326,20.0,0.45454545454545453,0.4375,0.44166666666666665,0.43589743589743585,44.0,0.4431818181818182,0.45454545454545453,0.4452214452214452,44.0
