,epoch,loss,acc,prec,rec,f1,test_loss
0,0,0.6445431506633759,0.4554946293096973,0.40536833855799376,0.3293012891930606,0.36339685606393257,0.7680081454190341
1,1,0.5860040807723998,0.48764365657627884,0.459267110841914,0.48273117937291105,0.470706913944285,0.7655042438415819
2,2,0.5671830070018768,0.4602268459400586,0.4617729235458471,0.8680566608308133,0.602851774068752,0.8319913873261813
3,3,0.554093257188797,0.509577105085255,0.4823731728288908,0.5357313385325482,0.5076540230751828,0.7650952498878588
4,4,0.545132212638855,0.5053706903027116,0.47102839600920954,0.3907369091198472,0.4271422357546759,0.7535919481487365
5,5,0.5406542319059372,0.4556448584090738,0.37925851703406815,0.24096769059366543,0.29469586374695866,0.766589370070462
6,6,0.5358646410703659,0.5025163374145571,0.48094597623851154,0.6829540028648735,0.5644195988161789,0.7828187349310332
7,7,0.5350561439990997,0.4713437992939232,0.4387274793053076,0.430208499124622,0.43442622950819676,0.7773687189275568
8,8,0.5323337113857269,0.4457297378502216,0.43378443692605123,0.5713830972465382,0.49316573940517894,0.8056037574293511
9,9,0.5322892850637436,0.4557199729587621,0.4481644956400043,0.662581569314022,0.5346776265091189,0.8127810099478544
10,10,0.5305388760566712,0.4555697438593856,0.446489963402462,0.6407766990291263,0.5262745098039215,0.8090885290118496
11,11,0.5285186219215393,0.523247953128521,0.4918158567774936,0.3060639821741206,0.3773177670950652,0.7347275583367598
12,12,0.5272250699996949,0.5023661083151807,0.45444858817261585,0.2715263409199427,0.33994221380890705,0.7422130529960377
13,13,0.5254963606595993,0.47975662885901,0.457104736490994,0.5452809167595097,0.4973145594425896,0.7890440288342928
14,14,0.525082198381424,0.4658604371666792,0.4484047856430708,0.5726563743434665,0.5029705738449709,0.8002575595983478
15,15,0.5244055205583572,0.45767295125065727,0.44150330877762517,0.5627884768422728,0.49482227819759306,0.8002390884326406
16,16,0.5269164979457855,0.4491850071358822,0.4350247524752475,0.5594461244628363,0.4894520643319641,0.8064269289445649
17,17,0.5266059720516205,0.4518891309246601,0.44787168414558914,0.6932993792774153,0.5441938909363483,0.8190385006261214
18,18,0.5232918804883957,0.47757830691805003,0.45535477013021525,0.5454400763966258,0.4963429647331451,0.7891076192901465
19,19,0.5220092701911926,0.5218207766844438,0.4921712884361441,0.4152474932357154,0.4504488950276243,0.747467698092666
20,20,0.5223656088113785,0.4530158491699842,0.44469051046395747,0.6391851026579659,0.5244873971529319,0.81262878710003
21,21,0.5248706483840943,0.4862164801322016,0.4505767524401065,0.4041063186375935,0.42607820104044297,0.7713246322704844
22,22,0.5224347704648972,0.47990685795838656,0.44524175636425767,0.41477001432436733,0.4294660514172709,0.7705282548968302
