,0.0.precision,0.0.recall,0.0.f1-score,0.0.support,1.0.precision,1.0.recall,1.0.f1-score,1.0.support,accuracy,macro_avg.precision,macro_avg.recall,macro_avg.f1-score,macro_avg.support,weighted_avg.precision,weighted_avg.recall,weighted_avg.f1-score,weighted_avg.support
81,0.8440150977241302,0.9819992173572764,0.907793721612605,22999.0,0.9758276405675249,0.8001627806769761,0.879307623507129,20887.0,0.8954564097889988,0.9099213691458276,0.8910809990171262,0.893550672559867,43886.0,0.9067496504828684,0.8954564097889988,0.8942361148330153,43886.0
82,0.8480798828784865,0.9823035784164529,0.9102703573874854,22999.0,0.9764016930480663,0.8062431177287308,0.8832013426338701,20887.0,0.8985097753269835,0.9122407879632763,0.8942733480725918,0.8967358500106777,43886.0,0.909153064508437,0.8985097753269835,0.8973871939376663,43886.0
83,0.8656995788488535,0.9652593591025697,0.9127726497132167,22999.0,0.9561999780725797,0.8351127495571408,0.8915638017838432,20887.0,0.9033176867338103,0.9109497784607166,0.9001860543298552,0.90216822574853,43886.0,0.9087721267818154,0.9033176867338103,0.9026785603293398,43886.0
84,0.868600480826075,0.9582590547415105,0.9112296369800711,22999.0,0.9481445470750284,0.840379183224015,0.8910152284263959,20887.0,0.9021555849245773,0.9083725139505516,0.8993191189827627,0.9011224327032334,43886.0,0.906458497317482,0.9021555849245773,0.9016088387423504,43886.0
85,0.8355181252288539,0.9921300926127223,0.9071140352620803,22999.0,0.9890805984555985,0.78493799971274,0.8752635934121666,20887.0,0.8935195734402771,0.9122993618422262,0.8885340461627311,0.8911888143371235,43886.0,0.9086042888866723,0.8935195734402771,0.891955210604578,43886.0
86,0.8685811727318529,0.9744771511804861,0.91848694725626,22999.0,0.9675385721395786,0.8376502130511801,0.8979214780600462,20887.0,0.909356058879825,0.9180598724357157,0.9060636821158331,0.9082042126581531,43886.0,0.9156787255147261,0.909356058879825,0.9086990660389852,43886.0
87,0.8357482619831686,0.9931301360928736,0.9076675475372052,22999.0,0.9904566320367238,0.7850816297218366,0.8758913548593863,20887.0,0.8941120174998861,0.9131024470099462,0.889105882907355,0.8917794511982957,43886.0,0.9093798010915086,0.8941120174998861,0.8925440608566784,43886.0
88,0.8474324173576767,0.9909126483760163,0.9135733183676742,22999.0,0.9877008179838758,0.8035620242255949,0.8861668426610348,20887.0,0.901745431344848,0.9175666176707762,0.8972373363008056,0.8998700805143545,43886.0,0.9141914312545782,0.901745431344848,0.90052954454266,43886.0
89,0.8361782228882635,0.994695421540067,0.9085746058223122,22999.0,0.9926181400133115,0.7854167664097286,0.8769444592933127,20887.0,0.8950918288292394,0.9143981814507876,0.8900560939748978,0.8927595325578124,43886.0,0.910633870452199,0.8950918288292394,0.893520628003618,43886.0
90,0.8558101042019336,0.9891734423235793,0.9176717357105402,22999.0,0.9856094318904236,0.8164887250442859,0.8931133804660906,20887.0,0.906986282641389,0.9207097680461787,0.9028310836839326,0.9053925580883153,43886.0,0.9175864920575023,0.906986282641389,0.9059834896641742,43886.0
91,0.8670881226053639,0.983999304317579,0.9218517688751299,22999.0,0.9793095693241876,0.8339158328146694,0.9007834923590101,20887.0,0.9125689285877046,0.9231988459647757,0.9089575685661242,0.91131763061707,43886.0,0.9204985349832537,0.9125689285877046,0.9118245827202697,43886.0
92,0.8160404212923428,0.9971737901647898,0.8975598301469581,22999.0,0.9958813838550247,0.7524776176569158,0.857236357686329,20887.0,0.880713667228729,0.9059609025736837,0.8748257039108528,0.8773980939166435,43886.0,0.9016335075851637,0.880713667228729,0.8783683711558185,43886.0
93,0.8469785213488148,0.9927388147310753,0.9140843942669549,22999.0,0.9901352708370252,0.8025087374922201,0.8865030674846626,20887.0,0.9022011575445472,0.91855689609292,0.8976237761116477,0.9002937308758088,43886.0,0.9151122092347067,0.9022011575445472,0.9009574022307306,43886.0
94,0.8681520615596646,0.9859993912778816,0.9233306188925081,22999.0,0.981874472276949,0.8351127495571408,0.9025664907378661,20887.0,0.9141867565966367,0.9250132669183069,0.9105560704175112,0.9129485548151871,43886.0,0.9222768392257067,0.9141867565966367,0.9134481883960854,43886.0
95,0.8645381984036488,0.9889995217183356,0.9225901965158491,22999.0,0.9856053709604006,0.8293675491932782,0.9007617710526999,20887.0,0.9130246547874037,0.9250717846820247,0.9091835354558069,0.9116759837842745,43886.0,0.9221586248082624,0.9130246547874037,0.9122012268524304,43886.0
96,0.8691638898464131,0.9866950736988565,0.9242078683717521,22999.0,0.9827867469201778,0.8364532963087088,0.9037347403269191,20887.0,0.915189354235975,0.9259753183832955,0.9115741850037826,0.9139713043493356,43886.0,0.9232412861846468,0.915189354235975,0.9144639357856784,43886.0
97,0.8775224542167269,0.9813035349363016,0.9265158668254033,22999.0,0.9763307095282655,0.8491884904486044,0.9083320530547447,20887.0,0.9184250102538395,0.9269265818724962,0.9152460126924531,0.917423959940074,43886.0,0.9245490237079567,0.9184250102538395,0.9178615051103292,43886.0
98,0.878685204657865,0.9809991738771251,0.9270276933190895,22999.0,0.9760008786863639,0.8508641738880643,0.90914671577655,20887.0,0.9190630269334183,0.9273430416721145,0.9159316738825947,0.9180872045478198,43886.0,0.9250013985108764,0.9190630269334183,0.9185174627687768,43886.0
99,0.8734645153837267,0.9862602721857472,0.9264417578826989,22999.0,0.9823631188256963,0.8426772633695601,0.9071745180909184,20887.0,0.9179237114341704,0.9279138171047114,0.9144687677776536,0.9168081379868087,43886.0,0.9252934615189956,0.9179237114341704,0.9172717529259719,43886.0
100,0.8633044531043094,0.9921300926127223,0.9232449929192797,22999.0,0.989630478372959,0.8270215923780342,0.9010484586093579,20887.0,0.9135487399170579,0.9264674657386343,0.9095758424953783,0.9121467257643188,43886.0,0.923427765545322,0.9135487399170579,0.9126808263939337,43886.0
101,0.8822631166797181,0.9797382494891083,0.9284492882012403,22999.0,0.9745993677095824,0.8560348542155408,0.9114775826472612,20887.0,0.9208631454222304,0.9284312421946503,0.9178865518523245,0.9199634354242507,43886.0,0.9262094156192611,0.9208631454222304,0.9203718144304258,43886.0
102,0.869279798480974,0.9903039262576634,0.9258536585365854,22999.0,0.9873904438789936,0.8360224062814191,0.9054236233537281,20887.0,0.9168755411748621,0.9283351211799837,0.9131631662695412,0.9156386409451567,43886.0,0.9254931022778213,0.9168755411748621,0.916130235466259,43886.0
