,epoch,loss,acc,prec,rec,f1,test_loss
0,0,0.7281573829906327,0.5240612468100619,0.0,0.0,0.0,0.7206796807380876
1,1,0.7201679104140827,0.5240612468100619,0.0,0.0,0.0,0.7193046992443741
2,2,0.7179122340111506,0.5240612468100619,0.0,0.0,0.0,0.7157732015448478
3,3,0.7137384035048031,0.5391223113379512,1.0,0.031644963615473,0.0613485544572834,0.7107217416123816
4,4,0.7090716195248422,0.5546390812978491,0.9977744807121661,0.06439103791650709,0.12097499550278827,0.7064673420986698
5,5,0.7049853173749787,0.590366387167335,0.8391608391608392,0.17234775947912678,0.2859639367701962,0.7028839289273187
6,6,0.7015553851212774,0.6166605905942398,0.6668308702791461,0.3888356951359632,0.4912301923309544,0.7062807667012118
7,7,0.699579938181809,0.5988880787458987,0.9052319842053307,0.17560321715817695,0.29414595028067364,0.6969084002881286
8,8,0.6961157130343574,0.630627962085308,0.8714853057982526,0.26263883569513596,0.4036346245815399,0.6940818764377961
9,9,0.6930907851173764,0.6542790740065622,0.8265341103873843,0.3462753734201455,0.48807314686730324,0.6922764458392174
10,10,0.6908991886746316,0.6242480860371855,0.9747354782984237,0.21610494063577174,0.35377561816685604,0.690519683215083
11,11,0.6880656260819662,0.6675401020780167,0.7991448931116389,0.40267139027192644,0.5355107757934613,0.6884069859807762
12,12,0.6864505168937501,0.6547803499817718,0.936805238312776,0.2945231711987744,0.4481515206701876,0.684789852220185
13,13,0.6835347105349813,0.6505878600072913,0.9657775541016608,0.27561279203370354,0.428842787440873,0.683259969550041
14,14,0.6809134557843208,0.6782491797302224,0.9287796223545811,0.35087131367292224,0.509329719587199,0.6798238059174563
15,15,0.6791229343840054,0.6965229675537732,0.8810027182120206,0.41894867866717733,0.5678595762629376,0.677616219478863
16,16,0.6759768589621499,0.6607500911410864,0.987485779294653,0.29088471849865954,0.4493916645094486,0.6779084052705904
17,17,0.6734404766133854,0.7074143273787824,0.9033583959899749,0.4313960168517809,0.5839354566957198,0.6727362096135887
